param_C,param_solver,mean_test_score,std_test_score
0.01,lbfgs,0.6101507092198581,0.03568262411347517
0.01,saga,0.6101507092198581,0.03568262411347517
0.1,lbfgs,0.9155585106382979,0.02194148936170215
0.1,saga,0.9155585106382979,0.02194148936170215
1.0,lbfgs,0.9368351063829787,0.0006648936170212671
1.0,saga,0.9368351063829787,0.0006648936170212671
10.0,lbfgs,0.926418439716312,0.009751773049645418
10.0,saga,0.926418439716312,0.009751773049645418
100.0,lbfgs,0.926418439716312,0.009751773049645418
100.0,saga,0.926418439716312,0.009751773049645418
